Nom,Industrie,Siège Social,Site Web,Taille(employés),Fondée,Forme Juridique,Adresse 1,Adresse 2,Ville,Region,Code Postal
Vosarts,Arts,"Passage Gabison, rue Atlas, Maarif
Casablanca
Grand Casablanca
20330
Maroc",http://www.vosarts.com,11-50,2005,Société de personnes (associés),"Passage Gabison, rue Atlas, Maarif",,Casablanca,Grand Casablanca,20330
Sportone,Articles de sport,"Lotissement Khadiriya lot 38 et 39, Lissasfa.
Casablanca
Grand Casablanca
Maroc",http://www.Sportone.ma,11-50,2011,Société à responsabilité limitée,"Lotissement Khadiriya lot 38 et 39, Lissasfa.",,Casablanca,Grand Casablanca,
Gnaoua Culture,Arts,"Résidence salsabila
Casablanca
20000
Maroc",http://www.gnaouaculture.org,11-50,2014,Travailleur indépendant ou profession libérale,Résidence salsabila,,Casablanca,,20000
iSketchu.ma,Arts,"El Quods
Casablanca
Grand Casablanca
20600
Maroc",http://www.isketchu.ma/,1-10,2014,Travailleur indépendant ou profession libérale,El Quods,,Casablanca,Grand Casablanca,20600
Les Jardins d'Ezéchiel,Arts,"10000
Maroc",http://www.bonsai-maroc.com,1-10,2009,Société à responsabilité limitée,,,,,10000
Vosartistes.com,Arts,"8 rue Turgot, quartier Racine
Casablanca
Maroc
20100
Maroc",http://Www.vosartistes.com,1-10,2012,Travailleur indépendant ou profession libérale,"8 rue Turgot, quartier Racine",,Casablanca,Maroc,20100
La galerie 38,Arts,"38 route d'Azemmour Ain Diab
Casablanca
20000
Maroc",http://lagalerie38.com,1-10,2010,Société à responsabilité limitée,38 route d'Azemmour Ain Diab,,Casablanca,,20000
ART VERT,Arts,"20050
Maroc",http://wwww.artvert.com,51-200,,Société à responsabilité limitée,,,,,20050
E cool,Arts,"Office
Timbuktu
Morocco
Maroc",http://www.ecool.com,11-50,,Société à responsabilité limitée,Office,,Timbuktu,Morocco,
Quincaillerie Cost,Articles de luxe et bijouterie,"20 Rue Arriachi Ex Michel Ange
Casablanca
Maroc",http://www.quincailleriecost.eu/index.php/en/nos-realisation,11-50,2008,Société cotée en bourse,20 Rue Arriachi Ex Michel Ange,,Casablanca,,
GRAY PEARL - Luxury Lifestyle,Articles de luxe et bijouterie,"Casablanca
Casablanca - Marrakech - Rabat
20000
Maroc",http://www.gray-pearl.com,1-10,2012,Société à responsabilité limitée,Casablanca,,Casablanca - Marrakech - Rabat,,20000
gherib / architects,Architecture et urbanisme,"Ang Rue Rif.R.Ibn Tofail Imm M
flat 5
Marrakech
Marrakech
40000
Maroc",http://www.gheribarchitects.com,1-10,2014,Société cotée en bourse,Ang Rue Rif.R.Ibn Tofail Imm M,flat 5,Marrakech,Marrakech,40000
SPEMAG,Agro-alimentaire,"90, Bd Ibn Tachfine
CASABLANCA
20310
Maroc",http://www.spemag.ma,11-50,2010,Société à responsabilité limitée,"90, Bd Ibn Tachfine",,CASABLANCA,,20310
SOGLAMA Seafood Processing,Agro-alimentaire,"Parcelle No 2
Port de Commerce
Agadir
80030
Maroc",http://www.soglama.com,51-200,2009,Société à responsabilité limitée,Parcelle No 2,Port de Commerce,Agadir,,80030
"BLANCAMAR, S.A.R.L",Agro-alimentaire,"zone Industrielle SAPINO, Lots 15; 16. BP Nº 136.
Nouaceur
Casablanca
26 200
Maroc",http://www.congeladosdelestrecho.com,11-50,,Entreprise individuelle,"zone Industrielle SAPINO, Lots 15; 16. BP Nº 136.",,Nouaceur,Casablanca,26 200
Naizaq Sciences,Agro-alimentaire,"Avenue Hassan 2, residence al Walid, app 6
Mohammedia
Maroc",http://www.naizaqsciences.com,1-10,,Société cotée en bourse,"Avenue Hassan 2, residence al Walid, app 6",,Mohammedia,,
Dika Food,Agro-alimentaire,"Bureaux les IRIS, rue lalla Amina 5ème étage
FES
Fès
30000
Maroc",http://www.dikafood.com,11-50,,Société à responsabilité limitée,"Bureaux les IRIS, rue lalla Amina 5ème étage",,FES,Fès,30000
Made In Morocco Asian Market,Agro-alimentaire,"24, Rue Brahim Lamtouni, Oasis, Casablanca
Casablanca
20410
Maroc",http://www.mimasianmarket.com,11-50,2014,Société à responsabilité limitée,"24, Rue Brahim Lamtouni, Oasis, Casablanca",,Casablanca,,20410
Cabinet d'Expertises Essadki,Agro-alimentaire,"34, Bd Mohammed V, 2ème étage, N°49
Casablanca
20080
Maroc",http://www.foodexpertises.com,1-10,1994,Société à responsabilité limitée,"34, Bd Mohammed V, 2ème étage, N°49",,Casablanca,,20080
Patisserie Mirgon,Agro-alimentaire,"rue el ikhaa
Marrakech
40000
Maroc",http://www.mirgon.com,1-10,1913,Société à responsabilité limitée,rue el ikhaa,,Marrakech,,40000
SCANDIMAR,Agro-alimentaire,"LOT 14 ZI Sud Ouest
Mohammedia
23281
Maroc",http://www.scandimar.com,11-50,,Société à responsabilité limitée,LOT 14 ZI Sud Ouest,,Mohammedia,,23281
Nabat Chaouia,Agro-alimentaire,"DOUAR TOUISSAT Route TNIN CHTOUKA
AZEMMOUR
EL JADIDA
Maroc",http://www.nabatchaouia.com,11-50,1990,Société à responsabilité limitée,DOUAR TOUISSAT Route TNIN CHTOUKA,,AZEMMOUR,EL JADIDA,
Modern Food Products,Agro-alimentaire,"Route 110, Bd Chefchaouni, Ain Sebaa
Casablanca
Maroc",http://www.mitsou.ma,11-50,,Entreprise individuelle,"Route 110, Bd Chefchaouni, Ain Sebaa",,Casablanca,,
BISCAF,Agro-alimentaire,"KM 10
LISSASFA
CASABLANCA
20230
Maroc",http://www.biscaf.com,201-500,1967,Société à responsabilité limitée,KM 10,LISSASFA,CASABLANCA,,20230
ALMÂA AQUACULTURE CONSULTING,Agro-alimentaire,"Résidence Eden Tamaris - Immeuble 19 - Appartement C3
Dar Bouazza
casablanca
27223
Maroc",http://www.almaaconsulting.com,1-10,2012,Société à responsabilité limitée,Résidence Eden Tamaris - Immeuble 19 - Appartement C3,,Dar Bouazza,casablanca,27223
INTER VERRE,Architecture et urbanisme,"23 rue Hadj Ahmed Balafrej.
Roches noires
Casablanca
20300
Maroc",http://www.interverre.com,1-10,1991,Société à responsabilité limitée,23 rue Hadj Ahmed Balafrej.,Roches noires,Casablanca,,20300
LifeDesign(LD),Architecture et urbanisme,"RUE AL BAYROUNI, IMM 4, APP 13 AGDAL
RABAT
Maroc",http://www.lifedesign.ma/,1-10,2009,Société à responsabilité limitée,"RUE AL BAYROUNI, IMM 4, APP 13 AGDAL",,RABAT,,
ADERASSA,Architecture et urbanisme,"6 rue dayet Aoua
RABAT
Maroc",http://www.aderassa.com,1-10,,Société à responsabilité limitée,6 rue dayet Aoua,,RABAT,,
ARCHIDAMUS,Architecture et urbanisme,"Av. My Ali Chrif
Temara
Rabat-Salé-Zemmour-Zaers
12000
Maroc",http://www.archidamus.com,,2013,Société à responsabilité limitée,Av. My Ali Chrif,,Temara,Rabat-Salé-Zemmour-Zaers,12000
ALAMI & Partners,Architecture et urbanisme,"113, avenue Mers-Sultan
Casablanca
Maroc",http://www.alami-and-partners.com,1-10,1985,Société de personnes (associés),"113, avenue Mers-Sultan",,Casablanca,,
ABG Studio,Architecture et urbanisme,"5 Rue Alfred de Musset
Quartier Gauthier
Casablanca
20250
Maroc",http://www.abgstudio.ma,1-10,2011,Entreprise individuelle,5 Rue Alfred de Musset,Quartier Gauthier,Casablanca,,20250
Narrowminded Architects,Architecture et urbanisme,"43 rue Antaki
Tangier
90000
Maroc",http://narrowminded.com,11-50,2015,Société de personnes (associés),43 rue Antaki,,Tangier,,90000
Aedis Projects,Architecture et urbanisme,"Tanger Boulevanrd
Boulevard Mohamed V, IMM B03 - N°9
Tangier
Tanger
90000
Maroc",http://www.aedisprojects.com,11-50,2003,Société à responsabilité limitée,Tanger Boulevanrd,"Boulevard Mohamed V, IMM B03 - N°9",Tangier,Tanger,90000
GIAC Agroalimentaire,Agro-alimentaire,"710, 2ème étage, avenue AL QODS - AÏN CHOQ
Casablanca
Casablanca
Maroc",http://www.giacagro.com,11-50,2002,Non lucratif,"710, 2ème étage, avenue AL QODS - AÏN CHOQ",,Casablanca,Casablanca,
Sicopa,Agro-alimentaire,"Rue Ibn Benna - Q.I. Sidi Brahim
BP 2049 - 30000
Fez
Maroc",http://www.sicopa.ma,11-50,1974,Société à responsabilité limitée,Rue Ibn Benna - Q.I. Sidi Brahim,BP 2049 - 30000,Fez,,
Zoubairi Distribution,Agro-alimentaire,"ZONE INDUSTRIELLE SIDI GHANEM 3 Lot 26 MARRAKECH - MAROC
Marrakech
40025
Maroc",http://www.zoubairidistribution.com,11-50,1995,Société à responsabilité limitée,ZONE INDUSTRIELLE SIDI GHANEM 3 Lot 26 MARRAKECH - MAROC,,Marrakech,,40025
HS2B,Agro-alimentaire,"Km 40 Route Marrakech Casablanca-
Sidi Bou Othmane
Marrakech
43 303
Maroc",http://www.hs2b.com,51-200,,Société à responsabilité limitée,Km 40 Route Marrakech Casablanca-,Sidi Bou Othmane,Marrakech,,43 303
Groupe KING GENERATION,Agro-alimentaire,Maroc,http://www.kinggeneration.com,51-200,,Société de personnes (associés),,,,,
SOCIETE DES BRASSERIES DU MAROC PRESIDENT DE LA CCIFM,Agro-alimentaire,"Tit Mellil
Casablanca
2660
Maroc",http://www.brasseries-maroc.com,501-1 000 employés,,Société cotée en bourse,Tit Mellil,,Casablanca,,2660
Lesieur Cristal,Agro-alimentaire,Maroc,http://www.lesieur-cristal.ma/,5 001-10 000,,Société cotée en bourse,,,,,
GREEN SMILE,Agro-alimentaire,"Imm 1 Appt 23 complexe Amal 2 Assalam
Agadir
80000
Maroc",http://www.greensmile.ma,1-10,2009,Société à responsabilité limitée,Imm 1 Appt 23 complexe Amal 2 Assalam,,Agadir,,80000
Compagnie Chérifienne de Chocolaterie (Aiguebelle),Agro-alimentaire,"174 Route Ouled Ziane
Casablanca
20100
Maroc",http://www.aiguebelle.com,201-500,1942,Société à responsabilité limitée,174 Route Ouled Ziane,,Casablanca,,20100
Groupe Holmarcom,Agro-alimentaire,"20, rue Mustapha El Maani
Casablanca
Maroc",http://www.holmarcom.ma,1001-5 000,1978,Société cotée en bourse,"20, rue Mustapha El Maani",,Casablanca,,
Concept Selection,Architecture et urbanisme,"40000
Maroc",http://www.conceptselection.com,1-10,,Société à responsabilité limitée,,,,,40000
bgconcept,Architecture et urbanisme,"305 Boulevard Ziraoui
Casablanca
20000
Maroc",http://www.bgconcept.ma,1-10,2014,Société à responsabilité limitée,305 Boulevard Ziraoui,,Casablanca,,20000
Lumex Sarl,Architecture et urbanisme,"132 Rue Brahim Nakhai
Maarif Extension
Casablanca
20370
Maroc",http://www.lumex.ma,11-50,2006,Société à responsabilité limitée,132 Rue Brahim Nakhai,Maarif Extension,Casablanca,,20370
Archgues,Architecture et urbanisme,"242 Boulevard Zerktouni
Casablanca
Morocco
20050
Maroc",http://www.archgues.ma,51-200,1983,Société à responsabilité limitée,242 Boulevard Zerktouni,,Casablanca,Morocco,20050
GreenTouch Architecture,Architecture et urbanisme,"26 Rue Imam Malik, Gueliz
Marrakesh
Select...
40000
Maroc",http://www.greentoucharch.com,1-10,2011,Société à responsabilité limitée,"26 Rue Imam Malik, Gueliz",,Marrakesh,Select...,40000
Original Creation (Architecture d’intérieur),Architecture et urbanisme,"Résidence El Amri, 5ème étage, Rue 6 Octobre. Quartier Racine.
Casablanca
Maroc",https://www.facebook.com/pages/Original-Creation-Maroc/752707821436473?fref=ts,1-10,2012,Travailleur indépendant ou profession libérale,"Résidence El Amri, 5ème étage, Rue 6 Octobre. Quartier Racine.",,Casablanca,,
LEAD ARCHITECTURE,Architecture et urbanisme,"Rue Ain Asserdoune (Ex Fontainebleau) Immeuble JAV2 Escalier B étage 3 appartement 5 - CIL
Casablanca
Maroc",http://www.lead-architecture.com,1-10,2006,Entreprise individuelle,Rue Ain Asserdoune (Ex Fontainebleau) Immeuble JAV2 Escalier B étage 3 appartement 5 - CIL,,Casablanca,,
Mr.Clim,Architecture et urbanisme,"17, Rue F1-Quartier Oukacha
Ain Sebaa
Casablanca
20590
Maroc",http://www.mrclim.ma,,2007,Société cotée en bourse,"17, Rue F1-Quartier Oukacha",Ain Sebaa,Casablanca,,20590
Archi Design - Lahlou & Berberovic,Architecture et urbanisme,"6. Av. Hassan Souktani
Casablanca
20100
Maroc",http://www.archidesign.ma,51-200,2007,Société de personnes (associés),6. Av. Hassan Souktani,,Casablanca,,20100
OKA - Omar Kobbité Architectes,Architecture et urbanisme,"51, rue Othman Ibnou Affane
Casablanca
20 070
Maroc",http://www.linkedin.com/pub/omar-kobbit%C3%A9/31/427/a24,1-10,1999,Travailleur indépendant ou profession libérale,"51, rue Othman Ibnou Affane",,Casablanca,,20 070
offshore2c,Affaires étrangères,"42 Bd Rachidi
casablanca
20100
Maroc",http://www.offshore2c.com/,51-200,2008,Société de personnes (associés),42 Bd Rachidi,,casablanca,,20100
Comptoir Agricole du Souss,Agriculture,"Comptoir Agricole du Souss Building
Prefecture of Inezgane-AÃ¯t Melloul
Souss-Massa-Draa
80150
Maroc",http://www.casma.ma,11-50,,,Comptoir Agricole du Souss Building,,Prefecture of Inezgane-AÃ¯t Melloul,Souss-Massa-Draa,80150
NCI BUSINESS,Affaires étrangères,"37 rue le wehda 2 étg; appt 5 mers sultant, Casablanca - Maroc
Casablanca
mers sultan
Maroc",http://www.ncibusiness.com,1-10,2014,Société à responsabilité limitée,"37 rue le wehda 2 étg; appt 5 mers sultant, Casablanca - Maroc",,Casablanca,mers sultan,
World Mediation Center Sarl,Affaires étrangères,"Avenue Allal El Fassi Residence, IBN Sina Immb A3, Appt N3
Meknes
Maroc",http://www.wmedcenter.com/,1-10,2013,Société à responsabilité limitée,"Avenue Allal El Fassi Residence, IBN Sina Immb A3, Appt N3",,Meknes,,
BIZCONSULTING,Affaires étrangères,Maroc,http://www.bizconsulting.ma,1-10,,Société de personnes (associés),,,,,
Global Services Consultant sarl,Affaires étrangères,"Casablanca
Casablanca
Maroc",http://www.marocgsco.com/Home.html,1-10,2014,Société à responsabilité limitée,,,Casablanca,Casablanca,
CAFRAD - Centre de Formation et de Recherche Administrative pour le Développement,Affaires étrangères,"B.P. 1796
TANGER
90001
Maroc",http://www.cafrad.org,11-50,1964,Administration publique,B.P. 1796,,TANGER,,90001
Export Maghreb,Affaires étrangères,"Rue Ali Abderrazak
Casablanca
Maroc",http://www.exportMaghreb.com,1-10,2012,Entreprise individuelle,Rue Ali Abderrazak,,Casablanca,,
CGLU Afrique,Affaires étrangères,"22 rue Essaadyine
Quartier Hassan
Rabat
10020
Maroc",http://www.localafrica.org/,11-50,2007,Non lucratif,22 rue Essaadyine,Quartier Hassan,Rabat,,10020
Art Verts SARL,Agriculture,"81 Boulevard Mohamed VI
Route Biougra Ait Melloul
Agadir
80000
Maroc",http://www.artverts.ma,11-50,2006,Société à responsabilité limitée,81 Boulevard Mohamed VI,Route Biougra Ait Melloul,Agadir,,80000
Terre et Humanisme - Maroc,Agriculture,"Technopark Casablanca, nº 376bis, Route Nouacer
Casablanca
Maroc",http://www.thm.ma,1-10,2005,Non lucratif,"Technopark Casablanca, nº 376bis, Route Nouacer",,Casablanca,,
BCAGRO,Agriculture,"Khouribga
25010
Maroc",http://www.bcagro.co,1-10,2014,Société de personnes (associés),,,Khouribga,,25010
Rationalconsulting,Agriculture,"Jawarih , meknes, maroc
Meknès
Meknes
50000
Maroc",http://www.rational-consult.com,,2011,Société à responsabilité limitée,"Jawarih , meknes, maroc",,Meknès,Meknes,50000
AGRIDATA CONSULTING,Agriculture,"Imm.Azizia, 2ème étage, Av .Hassan || – AGADIR
AGADIR
Maroc",http://agridata-consulting.com/,1-10,2006,Société à responsabilité limitée,"Imm.Azizia, 2ème étage, Av .Hassan || – AGADIR",,AGADIR,,
ANOC Association Nationale Ovine et Caprine,Agriculture,"457, Avenue Hassan II, Résidence MARIAM, B10, Agdal
Rabat
10090
Maroc",http://www.anoc.ma,51-200,1959,Non lucratif,"457, Avenue Hassan II, Résidence MARIAM, B10, Agdal",,Rabat,,10090
Agriconsulting Maroc S.A.,Agriculture,"Haroun Errachid, 19
Rabat
Maroc",http://www.agriconsultingmaroc.com,11-50,2002,Société de personnes (associés),"Haroun Errachid, 19",,Rabat,,
GRUPO CRIADO Y LOPEZ,Agriculture,"Boulevard Mohamed VI
Bloc 3 Nº8 BIS
Ait Melloul
80150
Maroc",http://www.criadoylopez.com,11-50,1980,Entreprise individuelle,Boulevard Mohamed VI,Bloc 3 Nº8 BIS,Ait Melloul,,80150
BODOR Group,Agriculture,"Lot 51 Zone industrielle
Berrchid
Berrechid
26000
Maroc",http://www.bodor-distribution.com/,51-200,1985,Société à responsabilité limitée,Lot 51 Zone industrielle,,Berrchid,Berrechid,26000
Groupe ÉLÉPHANT VERT,Agriculture,"340 rue Aït Malek
Souissi
Rabat
10000
Maroc",http://www.elephant-vert.com,201-500,2012,Société à responsabilité limitée,340 rue Aït Malek,Souissi,Rabat,,10000
CNS-ATM Consulting,Aéronautique et aérospatiale,"61, av Lalla El Yacout
2ème étage n°85
Casablanca
2000
Maroc",http://www.cns-atm.eu,1-10,2015,Société à responsabilité limitée,"61, av Lalla El Yacout",2ème étage n°85,Casablanca,,2000
Arab Excellence,Administration scolaire et universitaire,"Rabat - Morocco
Avenue Araar, Hay Riad
Rabat
Morocco
10100
Maroc",http://www.arabexcellence.org,11-50,,Non lucratif,Rabat - Morocco,"Avenue Araar, Hay Riad",Rabat,Morocco,10100
MySchool (Cours à domicile) Maroc,Administration scolaire et universitaire,"7 Rue Kadi iass,apt 16 - Maârif
Au dessus du McDonald's
Casablanca
Casablanca
22000
Maroc",http://www.myschool-maroc.com,1-10,2008,Établissement éducatif,"7 Rue Kadi iass,apt 16 - Maârif",Au dessus du McDonald's,Casablanca,Casablanca,22000
FORMACTION- BCO,Administration scolaire et universitaire,"4, rue Oued ziz, Agdal Rabat
18, Avenue Moulay Hassan, Appt 3, 2ème Etage Centre ville- Hassan
Rabat
Rabat
10000
Maroc",http://www.formaction-bco.com/,1-10,2015,Société à responsabilité limitée,"4, rue Oued ziz, Agdal Rabat","18, Avenue Moulay Hassan, Appt 3, 2ème Etage Centre ville- Hassan",Rabat,Rabat,10000
DMG SARL,Administration scolaire et universitaire,Maroc,http://www.arabophon.com,11-50,,Société à responsabilité limitée,,,,,
Cours Pygmalion,Administration scolaire et universitaire,"Rue Aïn Oulmes angle avenue du Phare, résidence Majda Al Jarrah, rdc.
Casablanca
Maroc
20040
Maroc",http://www.courspygmalion.com,,2013,Établissement éducatif,"Rue Aïn Oulmes angle avenue du Phare, résidence Majda Al Jarrah, rdc.",,Casablanca,Maroc,20040
Go Study British,Administration scolaire et universitaire,"217 Boulevard Brahim Roudani (ex rte d'El Jadida)
Casablanca
20390
Maroc",http://www.gostudybritish.com,1-10,2014,Société cotée en bourse,217 Boulevard Brahim Roudani (ex rte d'El Jadida),,Casablanca,,20390
Formation360.ma,Administration scolaire et universitaire,"Ziraoui
Casablanca
Maroc",http://formation360.ma,11-50,2014,Établissement éducatif,Ziraoui,,Casablanca,,
AMAQUEN,Administration scolaire et universitaire,Maroc,http://www.amaquen.org,51-200,,Non lucratif,,,,,
Ecole pour le Web Avancé,Administration scolaire et universitaire,"265 Avenue Hassan II
Agadir
80000
Maroc",http://www.ewa.ma,1-10,2009,Établissement éducatif,265 Avenue Hassan II,,Agadir,,80000
Kolchi Tema,Administration scolaire et universitaire,"20, rue Moutanabi , résid. AlAkhawayne 2°
Tanger
90000
Maroc",http://www.kolchitema.com,,2009,Établissement éducatif,"20, rue Moutanabi , résid. AlAkhawayne 2°",,Tanger,,90000
"Dar Si Hmad for Development, Education and Culture",Administration scolaire et universitaire,"App B4 Imm Hamria
Avenue Al Moukaouama
Agadir
80020
Maroc",http://www.darsihmad.org/,11-50,2010,Non lucratif,App B4 Imm Hamria,Avenue Al Moukaouama,Agadir,,80020
Solutions Consulting Group,Administration scolaire et universitaire,"43 Residence Al Baida, Imm. J
Bd. Yaacoub Al Mansour
Casablanca
20 380
Maroc",http://www.solutionscon.com,1-10,2006,Société à responsabilité limitée,"43 Residence Al Baida, Imm. J",Bd. Yaacoub Al Mansour,Casablanca,,20 380
EMSIG,Administration scolaire et universitaire,"Rouamzine 40
Kissariate Souk Jdid 1er & 2ème étage
Meknès
Meknès-Tafilalet
50000
Maroc",http://www.emsig.ma,11-50,2012,Établissement éducatif,Rouamzine 40,Kissariate Souk Jdid 1er & 2ème étage,Meknès,Meknès-Tafilalet,50000
ENGLISH HIGHWAY,Administration scolaire et universitaire,"24, Rue Sebou V.N.
Meknès
Morocco
50000
Maroc",http://www.eh.ma,11-50,2010,Établissement éducatif,"24, Rue Sebou V.N.",,Meknès,Morocco,50000
CCLT Morocco,Administration scolaire et universitaire,"Avenue Allal Ben Abdellah
Immeuble A1, Appartement 6
Rabat
Rabat-Salé-Zemmour-Zaër
10000
Maroc",http://www.ccltmorocco.com,1-10,2013,Établissement éducatif,Avenue Allal Ben Abdellah,"Immeuble A1, Appartement 6",Rabat,Rabat-Salé-Zemmour-Zaër,10000
"I.L.L, School of English, Temara, Morocco",Administration scolaire et universitaire,"12000
Maroc",http://www.languagelabcenter.com,11-50,,Établissement éducatif,,,,,12000
Ecole Nationale des Sciences Appliquées de Tanger (ENSAT),Administration scolaire et universitaire,"BP 1818
Tanger
90000
Maroc",http://www.ensat.ac.ma,501-1 000 employés,1998,Établissement éducatif,BP 1818,,Tanger,,90000
École Polytechnique d'Agadir,Administration scolaire et universitaire,"Campus universiapolis Bab Al Madina, Qr Tilila, B.P. 8143
Agadir
Souss Massa Draa
8143
Maroc",http://www.e-polytechnique.ma/,11-50,,Établissement éducatif,"Campus universiapolis Bab Al Madina, Qr Tilila, B.P. 8143",,Agadir,Souss Massa Draa,8143
ADALIA School of Business,Administration scolaire et universitaire,"1 Place BELAIR
Casablanca
20000
Maroc",http://www.adalia.ma,51-200,2014,Établissement éducatif,1 Place BELAIR,,Casablanca,,20000
Universiapolis,Administration scolaire et universitaire,"Technopôle d'Agadir , Bab Al Madina, Qr Tilila, B.P. 8143
Agadir
8143
Maroc",http://www.universiapolis.ma,51-200,1989,Établissement éducatif,"Technopôle d'Agadir , Bab Al Madina, Qr Tilila, B.P. 8143",,Agadir,,8143
Center for Cross Cultural Learning (CCCL),Administration scolaire et universitaire,"Av. Laalou, Derb Jirari, Zankat El Hassani, N°11 Rabat Medina, Morocco
Rabat
10101
Maroc",http://www.cccl.ma/,11-50,1995,Société à responsabilité limitée,"Av. Laalou, Derb Jirari, Zankat El Hassani, N°11 Rabat Medina, Morocco",,Rabat,,10101
George Washington Academy,Administration scolaire et universitaire,"Bd. Abdelhadi Boutaleb (ex km 5.6 Route d'Azemmour)
Casablanca
Maroc",http://www.gwa.ac.ma,51-200,1998,Non lucratif,Bd. Abdelhadi Boutaleb (ex km 5.6 Route d'Azemmour),,Casablanca,,
IIHEM,Administration scolaire et universitaire,"10020
Maroc",http://www.iihem.ac.ma,51-200,,Établissement éducatif,,,,,10020
Centre National pour la Recherche Scientifique et Technique (CNRST),Administration scolaire et universitaire,"Angle avenues des FAR et Allal El Fassi, Hay Ryad, B.P. 8027 N.U.
Rabat
Rabat
10102
Maroc",http://www.cnrst.ma,201-500,1975,Administration publique,"Angle avenues des FAR et Allal El Fassi, Hay Ryad, B.P. 8027 N.U.",,Rabat,Rabat,10102
"Ministry of Education, Morocco",Administration scolaire et universitaire,"Avenue Ennasr, Bab Rouah
Rabat
10000
Maroc",http://www.men.gov.ma,+ de 10 000,,Administration publique,"Avenue Ennasr, Bab Rouah",,Rabat,,10000
IAT Academy _ Béni Mellal,Aéronautique et aérospatiale,"56, Boulevard Hassan II
Béni Mellal
Béni Mellal
Maroc",http://iat-academia.com,11-50,2014,Établissement éducatif,"56, Boulevard Hassan II",,Béni Mellal,Béni Mellal,
Groupe Aerospace,Aéronautique et aérospatiale,"imm12Appt N°6Angle Av,Fal Oueld Omeir Agdal
Rabat
Maroc",http://www.groupe-aerospace.com,1-10,,Société à responsabilité limitée,"imm12Appt N°6Angle Av,Fal Oueld Omeir Agdal",,Rabat,,
MOVENDO AERONAUTICS,Aéronautique et aérospatiale,"Zone Franche D’Exploration Lot 40A-90000
TANGER
TANGER
90000
Maroc",http://www.movendoaeronautics.com,11-50,2013,Société à responsabilité limitée,Zone Franche D’Exploration Lot 40A-90000,,TANGER,TANGER,90000
