Nom,Industrie,Siège Social,Site Web,Taille,Fondée,Forme Juridique,Adresse 1,Adresse 2,Ville,Region,Pays,Code Postal,Profile LinkedIn,Taille/max,Taille/min
PUZZELLIGE,Arts et artisanat,"90 rue Azzouza
Hay Nahda 4
Rabat
Maroc",http://www.puzzellige.com,11-50 employés,2012,Société à responsabilité limitée (SRL),90 rue Azzouza,Hay Nahda 4,Rabat,,Maroc,,https://www.linkedin.com/company/3089692,50,11
Vosarts,Arts,"Passage Gabison, rue Atlas, Maarif
Casablanca
Grand Casablanca
20330
Maroc",http://www.vosarts.com,11-50 employés,2005,Société de personnes (associés),"Passage Gabison, rue Atlas, Maarif",,Casablanca,Grand Casablanca,Maroc,20330,https://www.linkedin.com/company/5210294,50,11
Sportone,Articles de sport,"Lotissement Khadiriya lot 38 et 39, Lissasfa.
Casablanca
Grand Casablanca
Maroc",http://www.Sportone.ma,11-50 employés,2011,Société à responsabilité limitée (SRL),"Lotissement Khadiriya lot 38 et 39, Lissasfa.",,Casablanca,Grand Casablanca,Maroc,,https://www.linkedin.com/company/5319378,50,11
Gnaoua Culture,Arts,"Résidence salsabila
Casablanca
20000
Maroc",http://www.gnaouaculture.org,11-50 employés,2014,Travailleur indépendant ou profession libérale,Résidence salsabila,,Casablanca,,Maroc,20000,https://www.linkedin.com/company/6613746,50,11
iSketchu.ma,Arts,"El Quods
Casablanca
Grand Casablanca
20600
Maroc",http://www.isketchu.ma/,1-10 employés,2014,Travailleur indépendant ou profession libérale,El Quods,,Casablanca,Grand Casablanca,Maroc,20600,https://www.linkedin.com/company/3597780,10,1
Les Jardins d'Ezéchiel,Arts,"10000
Maroc",http://www.bonsai-maroc.com,1-10 employés,2009,Société à responsabilité limitée (SRL),,,,,Maroc,10000,https://www.linkedin.com/company/827644,10,1
Vosartistes.com,Arts,"8 rue Turgot, quartier Racine
Casablanca
Maroc
20100
Maroc",http://Www.vosartistes.com,1-10 employés,2012,Travailleur indépendant ou profession libérale,"8 rue Turgot, quartier Racine",,Casablanca,Maroc,Maroc,20100,https://www.linkedin.com/company/3164079,10,1
La galerie 38,Arts,"38 route d'Azemmour Ain Diab
Casablanca
20000
Maroc",http://lagalerie38.com,1-10 employés,2010,Société à responsabilité limitée (SRL),38 route d'Azemmour Ain Diab,,Casablanca,,Maroc,20000,https://www.linkedin.com/company/2316858,10,1
ART VERT,Arts,"20050
Maroc",http://wwww.artvert.com,51-200 employés,,Société à responsabilité limitée (SRL),,,,,Maroc,20050,https://www.linkedin.com/company/1052731,200,51
E cool,Arts,"Office
Timbuktu
Morocco
Maroc",http://www.ecool.com,11-50 employés,,Société à responsabilité limitée (SRL),Office,,Timbuktu,Morocco,Maroc,,https://www.linkedin.com/company/2481312,50,11
Quincaillerie Cost,Articles de luxe et bijouterie,"20 Rue Arriachi Ex Michel Ange
Casablanca
Maroc",http://www.quincailleriecost.eu/index.php/en/nos-realisation,11-50 employés,2008,Société cotée en bourse,20 Rue Arriachi Ex Michel Ange,,Casablanca,,Maroc,,https://www.linkedin.com/company/5325785,50,11
GRAY PEARL - Luxury Lifestyle,Articles de luxe et bijouterie,"Casablanca
Casablanca - Marrakech - Rabat
20000
Maroc",http://www.gray-pearl.com,1-10 employés,2012,Société à responsabilité limitée (SRL),Casablanca,,Casablanca - Marrakech - Rabat,,Maroc,20000,https://www.linkedin.com/company/3004139,10,1
gherib / architects,Architecture et urbanisme,"Ang Rue Rif.R.Ibn Tofail Imm M
flat 5
Marrakech
Marrakech
40000
Maroc",http://www.gheribarchitects.com,1-10 employés,2014,Société cotée en bourse,Ang Rue Rif.R.Ibn Tofail Imm M,flat 5,Marrakech,Marrakech,Maroc,40000,https://www.linkedin.com/company/5232369,10,1
SPEMAG,Agro-alimentaire,"90, Bd Ibn Tachfine
CASABLANCA
20310
Maroc",http://www.spemag.ma,11-50 employés,2010,Société à responsabilité limitée (SRL),"90, Bd Ibn Tachfine",,CASABLANCA,,Maroc,20310,https://www.linkedin.com/company/9330208,50,11
SOGLAMA Seafood Processing,Agro-alimentaire,"Parcelle No 2
Port de Commerce
Agadir
80030
Maroc",http://www.soglama.com,51-200 employés,2009,Société à responsabilité limitée (SRL),Parcelle No 2,Port de Commerce,Agadir,,Maroc,80030,https://www.linkedin.com/company/10310229,200,51
"BLANCAMAR, S.A.R.L",Agro-alimentaire,"zone Industrielle SAPINO, Lots 15; 16. BP Nº 136.
Nouaceur
Casablanca
26 200
Maroc",http://www.congeladosdelestrecho.com,11-50 employés,,Entreprise individuelle,"zone Industrielle SAPINO, Lots 15; 16. BP Nº 136.",,Nouaceur,Casablanca,Maroc,26 200,https://www.linkedin.com/company/10164293,50,11
Naizaq Sciences,Agro-alimentaire,"Avenue Hassan 2, residence al Walid, app 6
Mohammedia
Maroc",http://www.naizaqsciences.com,1-10 employés,,Société cotée en bourse,"Avenue Hassan 2, residence al Walid, app 6",,Mohammedia,,Maroc,,https://www.linkedin.com/company/9262856,10,1
Dika Food,Agro-alimentaire,"Bureaux les IRIS, rue lalla Amina 5ème étage
FES
Fès
30000
Maroc",http://www.dikafood.com,11-50 employés,,Société à responsabilité limitée (SRL),"Bureaux les IRIS, rue lalla Amina 5ème étage",,FES,Fès,Maroc,30000,https://www.linkedin.com/company/5389971,50,11
Made In Morocco Asian Market,Agro-alimentaire,"24, Rue Brahim Lamtouni, Oasis, Casablanca
Casablanca
20410
Maroc",http://www.mimasianmarket.com,11-50 employés,2014,Société à responsabilité limitée (SRL),"24, Rue Brahim Lamtouni, Oasis, Casablanca",,Casablanca,,Maroc,20410,https://www.linkedin.com/company/5382152,50,11
Cabinet d'Expertises Essadki,Agro-alimentaire,"34, Bd Mohammed V, 2ème étage, N°49
Casablanca
20080
Maroc",http://www.foodexpertises.com,1-10 employés,1994,Société à responsabilité limitée (SRL),"34, Bd Mohammed V, 2ème étage, N°49",,Casablanca,,Maroc,20080,https://www.linkedin.com/company/3512920,10,1
Patisserie Mirgon,Agro-alimentaire,"rue el ikhaa
Marrakech
40000
Maroc",http://www.mirgon.com,1-10 employés,1913,Société à responsabilité limitée (SRL),rue el ikhaa,,Marrakech,,Maroc,40000,https://www.linkedin.com/company/3015708,10,1
SCANDIMAR,Agro-alimentaire,"LOT 14 ZI Sud Ouest
Mohammedia
23281
Maroc",http://www.scandimar.com,11-50 employés,,Société à responsabilité limitée (SRL),LOT 14 ZI Sud Ouest,,Mohammedia,,Maroc,23281,https://www.linkedin.com/company/472509,50,11
Nabat Chaouia,Agro-alimentaire,"DOUAR TOUISSAT Route TNIN CHTOUKA
AZEMMOUR
EL JADIDA
Maroc",http://www.nabatchaouia.com,11-50 employés,1990,Société à responsabilité limitée (SRL),DOUAR TOUISSAT Route TNIN CHTOUKA,,AZEMMOUR,EL JADIDA,Maroc,,https://www.linkedin.com/company/10248893,50,11
Modern Food Products,Agro-alimentaire,"Route 110, Bd Chefchaouni, Ain Sebaa
Casablanca
Maroc",http://www.mitsou.ma,11-50 employés,,Entreprise individuelle,"Route 110, Bd Chefchaouni, Ain Sebaa",,Casablanca,,Maroc,,https://www.linkedin.com/company/5060235,50,11
BISCAF,Agro-alimentaire,"KM 10
LISSASFA
CASABLANCA
20230
Maroc",http://www.biscaf.com,201-500 employés,1967,Société à responsabilité limitée (SRL),KM 10,LISSASFA,CASABLANCA,,Maroc,20230,https://www.linkedin.com/company/5025963,500,201
ALMÂA AQUACULTURE CONSULTING,Agro-alimentaire,"Résidence Eden Tamaris - Immeuble 19 - Appartement C3
Dar Bouazza
casablanca
27223
Maroc",http://www.almaaconsulting.com,1-10 employés,2012,Société à responsabilité limitée (SRL),Résidence Eden Tamaris - Immeuble 19 - Appartement C3,,Dar Bouazza,casablanca,Maroc,27223,https://www.linkedin.com/company/5019491,10,1
INTER VERRE,Architecture et urbanisme,"23 rue Hadj Ahmed Balafrej.
Roches noires
Casablanca
20300
Maroc",http://www.interverre.com,1-10 employés,1991,Société à responsabilité limitée (SRL),23 rue Hadj Ahmed Balafrej.,Roches noires,Casablanca,,Maroc,20300,https://www.linkedin.com/company/9318350,10,1
LifeDesign(LD),Architecture et urbanisme,"RUE AL BAYROUNI, IMM 4, APP 13 AGDAL
RABAT
Maroc",http://www.lifedesign.ma/,1-10 employés,2009,Société à responsabilité limitée (SRL),"RUE AL BAYROUNI, IMM 4, APP 13 AGDAL",,RABAT,,Maroc,,https://www.linkedin.com/company/9347451,10,1
ADERASSA,Architecture et urbanisme,"6 rue dayet Aoua
RABAT
Maroc",http://www.aderassa.com,1-10 employés,,Société à responsabilité limitée (SRL),6 rue dayet Aoua,,RABAT,,Maroc,,https://www.linkedin.com/company/438788,10,1
ARCHIDAMUS,Architecture et urbanisme,"Av. My Ali Chrif
Temara
Rabat-Salé-Zemmour-Zaers
12000
Maroc",http://www.archidamus.com,Moi uniquement,2013,Société à responsabilité limitée (SRL),Av. My Ali Chrif,,Temara,Rabat-Salé-Zemmour-Zaers,Maroc,12000,https://www.linkedin.com/company/3742420,,
ALAMI & Partners,Architecture et urbanisme,"113, avenue Mers-Sultan
Casablanca
Maroc",http://www.alami-and-partners.com,1-10 employés,1985,Société de personnes (associés),"113, avenue Mers-Sultan",,Casablanca,,Maroc,,https://www.linkedin.com/company/9337806,10,1
ABG Studio,Architecture et urbanisme,"5 Rue Alfred de Musset
Quartier Gauthier
Casablanca
20250
Maroc",http://www.abgstudio.ma,1-10 employés,2011,Entreprise individuelle,5 Rue Alfred de Musset,Quartier Gauthier,Casablanca,,Maroc,20250,https://www.linkedin.com/company/9225596,10,1
Narrowminded Architects,Architecture et urbanisme,"43 rue Antaki
Tangier
90000
Maroc",http://narrowminded.com,11-50 employés,2015,Société de personnes (associés),43 rue Antaki,,Tangier,,Maroc,90000,https://www.linkedin.com/company/10234783,50,11
Aedis Projects,Architecture et urbanisme,"Tanger Boulevanrd
Boulevard Mohamed V, IMM B03 - N°9
Tangier
Tanger
90000
Maroc",http://www.aedisprojects.com,11-50 employés,2003,Société à responsabilité limitée (SRL),Tanger Boulevanrd,"Boulevard Mohamed V, IMM B03 - N°9",Tangier,Tanger,Maroc,90000,https://www.linkedin.com/company/9388477,50,11
GIAC Agroalimentaire,Agro-alimentaire,"710, 2ème étage, avenue AL QODS - AÏN CHOQ
Casablanca
Casablanca
Maroc",http://www.giacagro.com,11-50 employés,2002,Non lucratif,"710, 2ème étage, avenue AL QODS - AÏN CHOQ",,Casablanca,Casablanca,Maroc,,https://www.linkedin.com/company/9448927,50,11
Sicopa,Agro-alimentaire,"Rue Ibn Benna - Q.I. Sidi Brahim
BP 2049 - 30000
Fez
Maroc",http://www.sicopa.ma,11-50 employés,1974,Société à responsabilité limitée (SRL),Rue Ibn Benna - Q.I. Sidi Brahim,BP 2049 - 30000,Fez,,Maroc,,https://www.linkedin.com/company/3336678,50,11
Zoubairi Distribution,Agro-alimentaire,"ZONE INDUSTRIELLE SIDI GHANEM 3 Lot 26 MARRAKECH - MAROC
Marrakech
40025
Maroc",http://www.zoubairidistribution.com,11-50 employés,1995,Société à responsabilité limitée (SRL),ZONE INDUSTRIELLE SIDI GHANEM 3 Lot 26 MARRAKECH - MAROC,,Marrakech,,Maroc,40025,https://www.linkedin.com/company/3499465,50,11
HS2B,Agro-alimentaire,"Km 40 Route Marrakech Casablanca-
Sidi Bou Othmane
Marrakech
43 303
Maroc",http://www.hs2b.com,51-200 employés,,Société à responsabilité limitée (SRL),Km 40 Route Marrakech Casablanca-,Sidi Bou Othmane,Marrakech,,Maroc,43 303,https://www.linkedin.com/company/3313646,200,51
Groupe KING GENERATION,Agro-alimentaire,Maroc,http://www.kinggeneration.com,51-200 employés,,Société de personnes (associés),,,,,Maroc,,https://www.linkedin.com/company/1183466,200,51
SOCIETE DES BRASSERIES DU MAROC PRESIDENT DE LA CCIFM,Agro-alimentaire,"Tit Mellil
Casablanca
2660
Maroc",http://www.brasseries-maroc.com,501-1 000 employés,,Société cotée en bourse,Tit Mellil,,Casablanca,,Maroc,2660,https://www.linkedin.com/company/690667,0,501
Lesieur Cristal,Agro-alimentaire,Maroc,http://www.lesieur-cristal.ma/,5 001-10 000 employés,,Société cotée en bourse,,,,,Maroc,,https://www.linkedin.com/company/153501,0,5
GREEN SMILE,Agro-alimentaire,"Imm 1 Appt 23 complexe Amal 2 Assalam
Agadir
80000
Maroc",http://www.greensmile.ma,1-10 employés,2009,Société à responsabilité limitée (SRL),Imm 1 Appt 23 complexe Amal 2 Assalam,,Agadir,,Maroc,80000,https://www.linkedin.com/company/600067,10,1
Compagnie Chérifienne de Chocolaterie (Aiguebelle),Agro-alimentaire,"174 Route Ouled Ziane
Casablanca
20100
Maroc",http://www.aiguebelle.com,201-500 employés,1942,Société à responsabilité limitée (SRL),174 Route Ouled Ziane,,Casablanca,,Maroc,20100,https://www.linkedin.com/company/902471,500,201
Groupe Holmarcom,Agro-alimentaire,"20, rue Mustapha El Maani
Casablanca
Maroc",http://www.holmarcom.ma,1001-5 000 employés,1978,Société cotée en bourse,"20, rue Mustapha El Maani",,Casablanca,,Maroc,,https://www.linkedin.com/company/1649165,0,1001
Concept Selection,Architecture et urbanisme,"40000
Maroc",http://www.conceptselection.com,1-10 employés,,Société à responsabilité limitée (SRL),,,,,Maroc,40000,https://www.linkedin.com/company/973077,10,1
bgconcept,Architecture et urbanisme,"305 Boulevard Ziraoui
Casablanca
20000
Maroc",http://www.bgconcept.ma,1-10 employés,2014,Société à responsabilité limitée (SRL),305 Boulevard Ziraoui,,Casablanca,,Maroc,20000,https://www.linkedin.com/company/4999300,10,1
Lumex Sarl,Architecture et urbanisme,"132 Rue Brahim Nakhai
Maarif Extension
Casablanca
20370
Maroc",http://www.lumex.ma,11-50 employés,2006,Société à responsabilité limitée (SRL),132 Rue Brahim Nakhai,Maarif Extension,Casablanca,,Maroc,20370,https://www.linkedin.com/company/3269086,50,11
Archgues,Architecture et urbanisme,"242 Boulevard Zerktouni
Casablanca
Morocco
20050
Maroc",http://www.archgues.ma,51-200 employés,1983,Société à responsabilité limitée (SRL),242 Boulevard Zerktouni,,Casablanca,Morocco,Maroc,20050,https://www.linkedin.com/company/5202046,200,51
GreenTouch Architecture,Architecture et urbanisme,"26 Rue Imam Malik, Gueliz
Marrakesh
Select...
40000
Maroc",http://www.greentoucharch.com,1-10 employés,2011,Société à responsabilité limitée (SRL),"26 Rue Imam Malik, Gueliz",,Marrakesh,Select...,Maroc,40000,https://www.linkedin.com/company/1639868,10,1
Original Creation (Architecture d’intérieur),Architecture et urbanisme,"Résidence El Amri, 5ème étage, Rue 6 Octobre. Quartier Racine.
Casablanca
Maroc",https://www.facebook.com/pages/Original-Creation-Maroc/752707821436473?fref=ts,1-10 employés,2012,Travailleur indépendant ou profession libérale,"Résidence El Amri, 5ème étage, Rue 6 Octobre. Quartier Racine.",,Casablanca,,Maroc,,https://www.linkedin.com/company/3075488,10,1
LEAD ARCHITECTURE,Architecture et urbanisme,"Rue Ain Asserdoune (Ex Fontainebleau) Immeuble JAV2 Escalier B étage 3 appartement 5 - CIL
Casablanca
Maroc",http://www.lead-architecture.com,1-10 employés,2006,Entreprise individuelle,Rue Ain Asserdoune (Ex Fontainebleau) Immeuble JAV2 Escalier B étage 3 appartement 5 - CIL,,Casablanca,,Maroc,,https://www.linkedin.com/company/3008470,10,1
Mr.Clim,Architecture et urbanisme,"17, Rue F1-Quartier Oukacha
Ain Sebaa
Casablanca
20590
Maroc",http://www.mrclim.ma,Moi uniquement,2007,Société cotée en bourse,"17, Rue F1-Quartier Oukacha",Ain Sebaa,Casablanca,,Maroc,20590,https://www.linkedin.com/company/1574044,,
Archi Design - Lahlou & Berberovic,Architecture et urbanisme,"6. Av. Hassan Souktani
Casablanca
20100
Maroc",http://www.archidesign.ma,51-200 employés,2007,Société de personnes (associés),6. Av. Hassan Souktani,,Casablanca,,Maroc,20100,https://www.linkedin.com/company/1615374,200,51
OKA - Omar Kobbité Architectes,Architecture et urbanisme,"51, rue Othman Ibnou Affane
Casablanca
20 070
Maroc",http://www.linkedin.com/pub/omar-kobbit%C3%A9/31/427/a24,1-10 employés,1999,Travailleur indépendant ou profession libérale,"51, rue Othman Ibnou Affane",,Casablanca,,Maroc,20 070,https://www.linkedin.com/company/3134205,10,1
offshore2c,Affaires étrangères,"42 Bd Rachidi
casablanca
20100
Maroc",http://www.offshore2c.com/,51-200 employés,2008,Société de personnes (associés),42 Bd Rachidi,,casablanca,,Maroc,20100,https://www.linkedin.com/company/10266893,200,51
Comptoir Agricole du Souss,Agriculture,"Comptoir Agricole du Souss Building
Prefecture of Inezgane-AÃ¯t Melloul
Souss-Massa-Draa
80150
Maroc",http://www.casma.ma,11-50 employés,,,Comptoir Agricole du Souss Building,,Prefecture of Inezgane-AÃ¯t Melloul,Souss-Massa-Draa,Maroc,80150,https://www.linkedin.com/company/8672394,50,11
NCI BUSINESS,Affaires étrangères,"37 rue le wehda 2 étg; appt 5 mers sultant, Casablanca - Maroc
Casablanca
mers sultan
Maroc",http://www.ncibusiness.com,1-10 employés,2014,Société à responsabilité limitée (SRL),"37 rue le wehda 2 étg; appt 5 mers sultant, Casablanca - Maroc",,Casablanca,mers sultan,Maroc,,https://www.linkedin.com/company/9413066,10,1
World Mediation Center Sarl,Affaires étrangères,"Avenue Allal El Fassi Residence, IBN Sina Immb A3, Appt N3
Meknes
Maroc",http://www.wmedcenter.com/,1-10 employés,2013,Société à responsabilité limitée (SRL),"Avenue Allal El Fassi Residence, IBN Sina Immb A3, Appt N3",,Meknes,,Maroc,,https://www.linkedin.com/company/5240183,10,1
BIZCONSULTING,Affaires étrangères,Maroc,http://www.bizconsulting.ma,1-10 employés,,Société de personnes (associés),,,,,Maroc,,https://www.linkedin.com/company/1038179,10,1
Global Services Consultant sarl,Affaires étrangères,"Casablanca
Casablanca
Maroc",http://www.marocgsco.com/Home.html,1-10 employés,2014,Société à responsabilité limitée (SRL),,,Casablanca,Casablanca,Maroc,,https://www.linkedin.com/company/5312129,10,1
CAFRAD - Centre de Formation et de Recherche Administrative pour le Développement,Affaires étrangères,"B.P. 1796
TANGER
90001
Maroc",http://www.cafrad.org,11-50 employés,1964,Administration publique,B.P. 1796,,TANGER,,Maroc,90001,https://www.linkedin.com/company/9496379,50,11
Export Maghreb,Affaires étrangères,"Rue Ali Abderrazak
Casablanca
Maroc",http://www.exportMaghreb.com,1-10 employés,2012,Entreprise individuelle,Rue Ali Abderrazak,,Casablanca,,Maroc,,https://www.linkedin.com/company/2612927,10,1
CGLU Afrique,Affaires étrangères,"22 rue Essaadyine
Quartier Hassan
Rabat
10020
Maroc",http://www.localafrica.org/,11-50 employés,2007,Non lucratif,22 rue Essaadyine,Quartier Hassan,Rabat,,Maroc,10020,https://www.linkedin.com/company/2753860,50,11
Art Verts SARL,Agriculture,"81 Boulevard Mohamed VI
Route Biougra Ait Melloul
Agadir
80000
Maroc",http://www.artverts.ma,11-50 employés,2006,Société à responsabilité limitée (SRL),81 Boulevard Mohamed VI,Route Biougra Ait Melloul,Agadir,,Maroc,80000,https://www.linkedin.com/company/9370244,50,11
Terre et Humanisme - Maroc,Agriculture,"Technopark Casablanca, nº 376bis, Route Nouacer
Casablanca
Maroc",http://www.thm.ma,1-10 employés,2005,Non lucratif,"Technopark Casablanca, nº 376bis, Route Nouacer",,Casablanca,,Maroc,,https://www.linkedin.com/company/10328193,10,1
BCAGRO,Agriculture,"Khouribga
25010
Maroc",http://www.bcagro.co,1-10 employés,2014,Société de personnes (associés),,,Khouribga,,Maroc,25010,https://www.linkedin.com/company/5305569,10,1
Rationalconsulting,Agriculture,"Jawarih , meknes, maroc
Meknès
Meknes
50000
Maroc",http://www.rational-consult.com,Moi uniquement,2011,Société à responsabilité limitée (SRL),"Jawarih , meknes, maroc",,Meknès,Meknes,Maroc,50000,https://www.linkedin.com/company/2347532,,
AGRIDATA CONSULTING,Agriculture,"Imm.Azizia, 2ème étage, Av .Hassan || – AGADIR
AGADIR
Maroc",http://agridata-consulting.com/,1-10 employés,2006,Société à responsabilité limitée (SRL),"Imm.Azizia, 2ème étage, Av .Hassan || – AGADIR",,AGADIR,,Maroc,,https://www.linkedin.com/company/9225706,10,1
ANOC Association Nationale Ovine et Caprine,Agriculture,"457, Avenue Hassan II, Résidence MARIAM, B10, Agdal
Rabat
10090
Maroc",http://www.anoc.ma,51-200 employés,1959,Non lucratif,"457, Avenue Hassan II, Résidence MARIAM, B10, Agdal",,Rabat,,Maroc,10090,https://www.linkedin.com/company/2538878,200,51
Agriconsulting Maroc S.A.,Agriculture,"Haroun Errachid, 19
Rabat
Maroc",http://www.agriconsultingmaroc.com,11-50 employés,2002,Société de personnes (associés),"Haroun Errachid, 19",,Rabat,,Maroc,,https://www.linkedin.com/company/9311050,50,11
GRUPO CRIADO Y LOPEZ,Agriculture,"Boulevard Mohamed VI
Bloc 3 Nº8 BIS
Ait Melloul
80150
Maroc",http://www.criadoylopez.com,11-50 employés,1980,Entreprise individuelle,Boulevard Mohamed VI,Bloc 3 Nº8 BIS,Ait Melloul,,Maroc,80150,https://www.linkedin.com/company/2498826,50,11
BODOR Group,Agriculture,"Lot 51 Zone industrielle
Berrchid
Berrechid
26000
Maroc",http://www.bodor-distribution.com/,51-200 employés,1985,Société à responsabilité limitée (SRL),Lot 51 Zone industrielle,,Berrchid,Berrechid,Maroc,26000,https://www.linkedin.com/company/9349493,200,51
Groupe ÉLÉPHANT VERT,Agriculture,"340 rue Aït Malek
Souissi
Rabat
10000
Maroc",http://www.elephant-vert.com,201-500 employés,2012,Société à responsabilité limitée (SRL),340 rue Aït Malek,Souissi,Rabat,,Maroc,10000,https://www.linkedin.com/company/3331908,500,201
CNS-ATM Consulting,Aéronautique et aérospatiale,"61, av Lalla El Yacout
2ème étage n°85
Casablanca
2000
Maroc",http://www.cns-atm.eu,1-10 employés,2015,Société à responsabilité limitée (SRL),"61, av Lalla El Yacout",2ème étage n°85,Casablanca,,Maroc,2000,https://www.linkedin.com/company/9418763,10,1
Arab Excellence,Administration scolaire et universitaire,"Rabat - Morocco
Avenue Araar, Hay Riad
Rabat
Morocco
10100
Maroc",http://www.arabexcellence.org,11-50 employés,,Non lucratif,Rabat - Morocco,"Avenue Araar, Hay Riad",Rabat,Morocco,Maroc,10100,https://www.linkedin.com/company/3093549,50,11
MySchool (Cours à domicile) Maroc,Administration scolaire et universitaire,"7 Rue Kadi iass,apt 16 - Maârif
Au dessus du McDonald's
Casablanca
Casablanca
22000
Maroc",http://www.myschool-maroc.com,1-10 employés,2008,Établissement éducatif,"7 Rue Kadi iass,apt 16 - Maârif",Au dessus du McDonald's,Casablanca,Casablanca,Maroc,22000,https://www.linkedin.com/company/10255594,10,1
FORMACTION- BCO,Administration scolaire et universitaire,"4, rue Oued ziz, Agdal Rabat
18, Avenue Moulay Hassan, Appt 3, 2ème Etage Centre ville- Hassan
Rabat
Rabat
10000
Maroc",http://www.formaction-bco.com/,1-10 employés,2015,Société à responsabilité limitée (SRL),"4, rue Oued ziz, Agdal Rabat","18, Avenue Moulay Hassan, Appt 3, 2ème Etage Centre ville- Hassan",Rabat,Rabat,Maroc,10000,https://www.linkedin.com/company/6435076,10,1
DMG SARL,Administration scolaire et universitaire,Maroc,http://www.arabophon.com,11-50 employés,,Société à responsabilité limitée (SRL),,,,,Maroc,,https://www.linkedin.com/company/1012109,50,11
Cours Pygmalion,Administration scolaire et universitaire,"Rue Aïn Oulmes angle avenue du Phare, résidence Majda Al Jarrah, rdc.
Casablanca
Maroc
20040
Maroc",http://www.courspygmalion.com,Moi uniquement,2013,Établissement éducatif,"Rue Aïn Oulmes angle avenue du Phare, résidence Majda Al Jarrah, rdc.",,Casablanca,Maroc,Maroc,20040,https://www.linkedin.com/company/3055431,,
